Mean Left Ankle Dorsiflexion in Stance,Peak Left Knee Flexion in Swing,Mean Left Hip Rotation
17.2877373417722,71.3704,-19.34630544
16.751825125,71.2221,-17.5599179674797
11.83890579875,55.3924,3.49823874263566
12.5045676063636,55.9147,3.64580716422764
-0.342489019047619,46.0284,28.3717819444444
-0.585937913658536,43.4354,28.0901826388889
4.80237725,60.7094,-9.61462871398601
4.2345063373494,59.2129,-8.40733396478873
9.34404275324675,57.0014,4.74741796942149
10.9370961851852,59.6438,4.13387351620155
6.55398068,41.8135,17.5868863676471
6.75168754761905,46.2776,20.0972150984848
2.78361293902439,50.9326,5.00158645985401
2.46929638795181,50.455,4.58336738623188
-3.63497523333333,30.266,37.4528666666667
-2.84548990246914,31.0671,38.0159892086331
8.86708028205128,55.3036,-0.594702145967742
8.58644435064935,55.4726,-1.47071401463415
11.8963961392405,57.763,3.15869358139535
11.2614724634146,62.0295,4.05849383969466
1.43027629634146,50.3698,5.45948166906475
1.36491836835443,51.1125,4.98526034264706
4.04299539534884,55.5111,-5.06959583496504
3.3202742962963,58.4489,-3.7847240212766
12.0126136419753,58.4342,-2.3159384351145
13.6971151582278,58.4581,-1.23114357637795
11.7341049865169,55.4781,6.13022746153846
11.7303822298851,55.8601,5.44019104822695
-0.496879628915663,47.532,9.09079238926175
1.10651647961538,41.6806,10.7002746826119
1.78203532098765,38.2742,18.3583273049645
1.559980375,49.2514,20.8009299315069
